step,from,to
1816,215,123
1817,123,235
1818,235,95
1819,95,155
1820,155,55
1821,55,189
1822,189,56
1823,56,159
1824,159,82
1825,82,170
1826,170,66
1827,66,188
1828,188,63
1829,63,177
1830,177,57
1831,57,185
1832,185,72
1833,72,181
1834,181,82
1835,82,177
1836,177,42
1837,42,114
1838,114,236
1839,236,97
1840,97,150
1841,150,75
1842,75,162
1843,162,30
1844,30,199
1845,199,116
1846,116,29
1847,29,122
1848,122,18
1849,18,118
1850,118,26
1851,26,191
1852,191,68
1853,68,193
1854,193,112
1855,112,221
1856,221,121
1857,121,4
1858,4,101
1859,101,161
1860,161,72
1861,72,209
1862,209,124
1863,124,24
1864,24,138
1865,138,13
1866,13,132
1867,132,201
1868,201,85
1869,85,154
1870,154,83
1871,83,147
1872,147,16
1873,16,129
1874,129,203
1875,203,53
1876,53,164
1877,164,67
1878,67,185
1879,185,50
1880,50,180
1881,180,45
1882,45,195
1883,195,58
1884,58,176
1885,176,50
1886,50,200
1887,200,31
1888,31,106
1889,106,218
1890,218,126
1891,126,207
1892,207,132
1893,132,9
1894,9,120
1895,120,6
1896,6,112
1897,112,36
1898,36,110
1899,110,213
1900,213,124
1901,124,219
1902,219,130
1903,130,223
1904,223,109
1905,109,38
1906,38,115
1907,115,175
1908,175,87
1909,87,179
1910,179,68
1911,68,158
1912,158,80
1913,80,152
1914,152,15
1915,15,148
1916,148,2
1917,2,133
1918,133,11
1919,11,97
1920,97,184
1921,184,60
1922,60,164
1923,164,82
1924,82,148
1925,148,88
1926,88,163
1927,163,35
1928,35,111
1929,111,17
1930,17,128
1931,128,27
1932,27,105
1933,105,230
1934,230,141
1935,141,83
1936,83,198
1937,198,61
1938,61,189
1939,189,34
1940,34,203
1941,203,125
1942,125,225
1943,225,91
1944,91,0
1945,0,142
1946,142,96
1947,96,162
1948,162,36
1949,36,183
1950,183,81
1951,81,189
1952,189,43
1953,43,170
1954,170,92
1955,92,145
1956,145,85
1957,85,139
1958,139,16
